reach	order	chanwidth	chandepth	bank_depth	bank_width	sinuosity	slope	floodwidth	entrenchment	width_depth_r	lakekm	flowlength	valleylength	pools	wetwidth	silt	sand	gravel	cobble	boulder	bedrock	wood	velocity	discharge	turbidity	temp	cond	ph	tds	salt	benthos	TAI	TAM	TAR	Total
Acantuco	2	16	1.5	3	22	1.046319745	0.055830144	22	1.375	10.66666667	11.35	6.644130384	6.35	0.206405694	8	0	70	10	10	10	2	9	0.248769231	303.244	2.506666667	10.7	60.5	7.6	43.2	30.7	29.33	1.631393298	0.396825397	0.044091711	2.072310406
Blest Arriba	2	12.4	1.45	2.9	19	1.186651607	0.07187597	17	1.370967742	7.862068966	0.65	6.799513708	5.73	0.77	4	0	0	0	3.5	94	2.5	3	0.144285714	206.5175	0.75	10.6	33	7.73	23.5	18.2	750.15	13.88154416	0.132205182	0.132205182	14.14595452
Bonito Toma de agua	2	15	1.4	2.8	15	1.342516023	0.028977394	15	1	10.71428571	2.4	13.23720799	9.86	24.45528757	7	0	54	5	5	33	3	8	0.386714286	678.35	0.4	7.3	57.7	8.05	40.9	26.2	108.16	12.98701299	0.742115028	0.556586271	14.28571429
Bonito trampa	2	30	1.22	2.44	50	1.342516023	0.037981725	50	1.666666667	24.59016393	1.65	13.23720799	9.86	0	8	0	60	0	20	20	0	18	0.195666667	589.24	0.1	7.85	57.5	7.85	40.8	28.7	65.87	16.79104478	0.373134328	0	17.1641791
Casa de Piedra Ab	3	30.7	0.8	1.6	39	1.198908429	0.031989084	39	1.270358306	38.375	3.19	19.77	16.49	0	7.6	0	10	10	10	70	0	19	0.410333333	2742.385	0.22	9.8	53.3	8.06	38	26.9	170.02	11.92411924	0	0.180668473	12.10478771
Casa de Piedra Ar	3	19	0.75	1.5	27	1.198908429	0.07585418	27	1.421052632	25.33333333	3.78	19.77	16.49	23.43	12.4	0	10	20	5	50	15	7	0.318466667	704.51	0.22	9.8	53.3	8.06	38	26.9	72.22	10.625	0	0.15625	10.78125
Castilla Abajo	4	5.76	0.93	1.86	6.17	1.202576112	0.003999979	6.17	1.071180556	6.193548387	0.14	10.27	8.54	11.1627907	4.2	0	28	19	40	13	0	5	0.310571429	264.6325	1.55	12.4	89.3	8.04	63.3	44.5	1109.97	14.6179402	45.18272425	0	59.80066445
Castilla Medio	2	4.26	0.93	1.86	78	1.202576112	0.003999979	78	18.30985915	21.3	6.73	10.27	8.54	0.810615199	3.49	0	10	10	80	0	0	0	0.170083333	118.754375	1.37	13.6	127.4	7.6	90.7	63.1	1028.22	5.402735328	27.78549597	15.43638665	48.62461795
Chacabuco Arriba	3	8.2	0.8	1.6	20.4	1.634707574	0.001999997	20.4	2.487804878	10.25	6.03	25.73	21.8	20.12	3	20	10	60	10	0	0	0	0.431666667	282.775	0.93	13.3	138.4	7.6	98.4	68.4	1432.33	0.745341615	11.18012422	0	11.92546584
Chacabuco Des	3	7	0.5	1	50	1.180275229	0.011999424	50	7.142857143	14	0.1	17.05	10.43	11.41031492	4	30	0	20	50	0	0	2	0.239333333	138.2175	0.81	17.3	134.9	7.6	96.2	68.9	1836.44	4.56412597	13.36636891	0	17.93049488
Chacabuco Superior (ex manzano)	2	8.5	0.73	1.46	50	1.195238095	0.015998635	50	5.882352941	12.14285714	17.45	12.55	10.5	0	2.5	85	0	15	0	0	0	11	0.0498	16.77	0.59	14.6	103.8	7.8	73.7	52.3	137.6	12.5	13.33333333	0	25.83333333
Challhuaco Abajo	2	11	0.6	1.2	80	1.174447174	0.031989084	80	11.42857143	18.33333333	15.37	9.56	8.14	0	8	5	15	35	35	10	0	0	0.344705882	491.325	0.81	17.3	134.9	7.6	96.2	68.9	383.31	16.07142857	0	0	16.07142857
Challhuaco Arriba	1	4.6	0.85	1.7	5	1.174447174	0.051953207	5	1.086956522	5.411764706	17.52	9.56	8.14	21.82539683	2.1	5	5	40	40	10	0	9	0.395	254.45	1.02	5.3	106	8.26	75.8	46.1	963.71	68.78306878	0	5.731922399	74.51499118
De la Quebrada	1	7.8	0.8	1.6	7.8	1.115384615	0.057935094	7.8	1	9.75	45.86	5.22	4.68	3.076923077	4.5	0.5	26.25	16	36	20	1.25	0	0.091222222	51.9525	0.13	9.2	134.1	8.05	95.1	63.8	531.68	50	2.136752137	0.427350427	52.56410256
Del Medio	2	42.5	1.15	2.3	15	1.298728814	0.005999928	15	0.352941176	36.95652174	30.72	24.52	18.88	42.76315789	2.9	0	60	8	30	2	0	1	0	0	0.5	13.1	109.5	7.46	77.8	54.4	387.93	20.55921053	5.756578947	0	26.31578947
Estacada	3	12	1.9	3.8	18	1.130399348	0.051953207	16.5	1.375	5.947368421	0.37	13.87	12.27	0.09227683	6.8	0	10	0	30	60	0	5	0.3152	721.445	0.32	12.5	68.3	7.6	48.8	35	124.66	1.875	0	0	1.875
Frey Abajo	2	14	1.5	3	20	1.044630404	0.077842391	20	1.428571429	9.333333333	0.19	7.49	7.17	0.243150685	12.75	0	0	1	90	9	0	11	0.195166667	909.16	1.32	16.8	19.3	7.58	13.7	13.7	131.94	1.710526316	1.184210526	0.263157895	3.157894737
Frey Arriba	2	16	1.5	3	20	1.044630404	0.099668652	20	1.25	10.66666667	0.64	7.49	7.17	0	12	0	0	10	0	0	90	0	0.195166667	909.16	0.26	18.5	19.7	7.53	14	15.2	131.94	1.811594203	2.070393375	0.258799172	4.140786749
Gallardo	2	31	1.6	3.2	31	1.203846154	0.027992686	31	1	19.375	1.48	18.78	15.6	4.25	10	0	12.5	5	55	0	27.5	5	0.3302	609.495	0.1	14.2	20.9	8.8	15	14.2	564	1.75	5.5	0	7.25
Gutierrez municipalidad (ruta)	3	14	1.2	2.4	100	1.166377816	0.005999928	100	7.142857143	11.66666667	0.41	6.73	5.77	0	10.46	0	0	70	30	0	0	1	0.602714286	1782.515	0.01	10.4	74	7.87	52.7	36.6	306.69	3.07295797	10.40840603	0	13.481364
Gutierrez Usina (gendarmes)	3	16	1.3	2.6	100	1.166377816	0.011999424	100	6.25	12.30769231	1.06	6.73	5.77	0	5.2	0	70	10	20	0	0	1	0.231454545	809.66	0.45	12	75.7	7.73	53.8	38.1	137.49	0.310173697	6.668734491	0	6.978908189
Gutierrez Virgen	3	67	1.8	3.6	100	1.166377816	0.001999997	100	1.492537313	37.22222222	4.35	6.73	5.77	0	16	10	30	20	40	0	0	0	0.269307692	1730.355	0.63	13.4	72.5	7.93	51.6	37.3	222.09	0.520833333	5.989583333	0	6.510416667
Huemul pcpal	3	72	1.5	3	1000	1.123792801	0.043971638	1000	13.88888889	48	1.59	12.8	11.39	1.960714286	5.6	0	20	10	10	60	0	9	0.3472	344.155	0.176666667	10.3	63.6	7.4	45	31.6	6.68	4.642857143	0	0	4.642857143
Huemul secundario	3	72	1.5	3	1000	1.123792801	0.043971638	1000	13.88888889	48	1.59	12.8	11.39	0	3.4	0	5	75	15	5	0	2	0.337857143	283.8675	0.43	10	63.2	7.2	44.9	31.4	6.68	9.362389023	0	0	9.362389023
Jones	1	5	0.7	1.4	12	1.539196941	0.003999979	12	2.4	1.539196941	19.13	16.1	10.46	12.83	3.1	0	50	50	0	0	0	2	0.122571429	29.11	0.48	13.5	92.8	7.8	66.1	46.9	80.5	21.50537634	5.591397849	0	27.09677419
Las Minas	2	7	0.55	1.3	20.43	1.127795527	0.013999085	20.43	2.918571429	12.72727273	37.57	10.59	9.39	10.54	0.5	26.7	40	6	6.7	20.6	0	7	0.2655	11.916	1.48	16.2	258	8.73	184	128	8159.6	37.72893773	0.732600733	0	38.46153846
Lluvuco	2	16.06	1.04	2.08	16.06	1.056105611	0.111535184	21.8	1.357409714	11.47142857	0.3	6.4	6.06	15.12	17.27	0	10	18	42	30	0	14	0.186	545.035	0.06	10.7	23.2	7.65	16.5	13.5	143.56	1.341921632	0.107353731	0	1.449275362
Machete	3	50	1.3	2.6	51	1.877667141	0.005999928	51	1.02	38.46153846	7.77	26.4	14.06	0	16	0	90	10	0	0	0	2	0.16275	825.39	0.126666667	12.1	48.8	8.4	34.7	24.8	564	4.009433962	4.481132075	0.235849057	8.726415094
Millaqueo abajo (1)	3	2.7	0.72	1.14	45	1.493333333	0.007999829	45	16.66666667	3.75	0.89	16.92	14.15	3.617571059	17	0	40	1	39	20	0	1	0.409529412	1902.575	0.19	9	25	8.2	18.2	13.7	118.6	8.553862604	0	0.089102735	8.642965339
Millaqueo arriba (2)	3	31.5	0.6	1.2	31.5	1.195759717	0.007999829	31.5	1	52.5	1.58	16.92	14.15	0	10	0	5	0	25	70	0	2	0.3497	1576.535	0.15	9.6	25.8	8.02	18.4	14.6	281.44	13.46938776	0	0.612244898	14.08163265
Ñireco Alto	1	6.6	0.77	1.54	8	1.208818126	0.087773892	8	1.212121212	8.571428571	14.9	19.74	16.33	14	3	3.75	6.25	20.625	43.75	25.625	0	0	0.166724138	883.9225	0.17	8.5	81.8	8.1	58.1	37.3	146.33	16.0968661	0	0	16.0968661
Ñireco arriba	2	8.8	0.45	0.9	40	1.208818126	0.011999424	40	4.545454545	19.55555556	9.07	19.74	16.33	3.03	7.7	7.5	37.5	7.5	32.5	15	0	0	0.2675	327.9	0.45	19.3	93	8.44	66.1	47	312.18	16.96969697	0	0	16.96969697
Ñireco Urbano	3	15	1.25	2.5	175	1.208818126	0.009999667	175	11.66666667	12	1.46	19.74	16.33	0	8	2	5	13	15	65	0	0	0.43625	714.45	0.36	10.5	152.7	8.03	108	73.6	1815.4	18.20652174	0.27173913	0	18.47826087
Ñirihuau Aerop	4	75	2	4	150	1.192892358	0.005999928	150	2	37.5	19.31	58.07	48.68	0	19.5	2	40	4	4	50	0	0	0.211047619	2335.55	0.62	8.9	72.6	8	51.5	35.1	127.97	2.128112364	1.532240902	0	3.702915514
Ñirihuau alto	3	23	1.9	3.8	300	1.192892358	0.033986908	300	13.04347826	12.10526316	45.78	58.07	48.68	18.30997151	14.4	0	15	15	30	40	0	0	0.55075	2660.19875	0.04	14.3	59.1	8.25	42	31.5	425.35	3.125	0.625	0	3.75
Ñirihuau Superior Br1	3	23.6	1.5	3	160	1.192892358	0.021996452	160	6.779661017	15.73333333	44.14	58.07	48.68	7.608034084	10.7	0	5	20	15	60	0	0	0.55075	2660.19875	0.09	6.1	56.7	7.94	40.2	25	76.66	11.56421181	0.304321363	0	11.86853317
Ñirihuau superior Br2	3	13.03	1	2	160	1.192892358	0.021996452	160	12.27935533	13.03	44.14	58.07	48.68	0	4	0	5	15	30	50	0	0	0.15475	98.96125	0.02	8.7	66.3	7.82	45	30.7	72.77	23.38709677	0	0	23.38709677
Ñirihuau Vado	3	65	1.6	3.2	500	1.192892358	0.009999667	500	7.692307692	40.625	32.58	58.07	48.68	7.59	10	0	1	4	20	35	40	0	0.739380952	2848.29	2.11	7.4	70.5	7.9	50	31.8	337.4	4.415954416	0.237416904	0	4.65337132
Patiruco	2	15.4	1.27	2.54	17.4	1.070491803	0.051953207	17.4	1.12987013	11.84615385	0.12	6.53	6.1	44.69987229	5.8	0	10	20	20	60	0	1	0.045454545	220.5	0.28	8.9	31.9	7.6	22.3	16.6	113.22	12.13282248	0	2.554278416	14.68710089
Pireco	3	33	1.5	3	70	1.218449349	0.009999667	70	2.121212121	22	8.61	21.53	17.67	3.958477509	16	0	40	0	50	10	0	16	0.636529412	3305.8	1.32	11.8	43.3	7.73	30.7	23.2	18.4	0.761245675	0.692041522	0	1.453287197
Ragintuco	2	15	1.3	2.6	15	1.136986301	0.091822098	15	1	11.53846154	0.49	11.62	10.22	0.048843188	9	0	15	10	25	50	0	15	0.452272727	792.995	0.876666667	10.8	52	7.2	37.7	27.1	79.09	1.095890411	0	0	1.095890411
Tristeza	2	6.2	0.3	0.6	7.2	1.209558824	0.019997334	7.2	1.161290323	24	42.08	13.16	10.88	0	6	0	5	10	70	25	0	6	0.28625	467.1175	0.46	5	85.5	7.86	60.8	38.1	192.36	20.55660974	0.316255534	0.316255534	21.18912081
